Node,Depth,Value,Alpha,Beta
A2,5,-9,-17,-14
A2,5,-9,-17,-14
A5,5,-9,-17,-14
B3,4,-9,-17,-14
B2,4,-14,-Infinity,-14
B4,4,-Infinity,-Infinity,-14
A2,5,-23,-Infinity,-14
B4,4,-23,-23,-14
A3,5,-17,-23,-14
B4,4,-17,-17,-14
A4,5,-21,-17,-14
B4,4,-17,-17,-14
A5,5,-Infinity,-17,-14
A2,5,-Infinity,-17,-14
A2,5,-9,-17,-14
A2,5,-9,-17,-14
A5,5,-9,-17,-14
B4,4,-9,-17,-14
B2,4,-14,-Infinity,-14
B5,4,-Infinity,-Infinity,-14
A2,5,-24,-Infinity,-14
B5,4,-24,-24,-14
A3,5,-18,-24,-14
B5,4,-18,-18,-14
A4,5,-Infinity,-18,-14
A2,5,-18,-18,-14
A4,5,-18,-18,-14
A3,5,-12,-18,-14
A4,5,-12,-18,-14
B5,4,-12,-18,-14
B2,4,-14,-Infinity,-14
B4,4,-14,-Infinity,-14
B3,4,-Infinity,-Infinity,-14
A2,5,-10,-Infinity,-14
B3,4,-10,-Infinity,-14
B4,4,-14,-Infinity,-14
B5,4,Infinity,-Infinity,-14
B2,4,-Infinity,-Infinity,-14
A2,5,-23,-Infinity,-14
B2,4,-23,-23,-14
A3,5,-17,-23,-14
B2,4,-17,-17,-14
A4,5,-21,-17,-14
B2,4,-17,-17,-14
A5,5,-Infinity,-17,-14
A2,5,-Infinity,-17,-14
A2,5,-9,-17,-14
A2,5,-9,-17,-14
A5,5,-9,-17,-14
B2,4,-9,-17,-14
B5,4,-9,-Infinity,-14
B3,4,Infinity,-Infinity,-14
B2,4,-Infinity,-Infinity,-14
A2,5,-24,-Infinity,-14
B2,4,-24,-24,-14
A3,5,-18,-24,-14
B2,4,-18,-18,-14
A4,5,-22,-18,-14
B2,4,-18,-18,-14
A5,5,-Infinity,-18,-14
A2,5,-Infinity,-18,-14
A2,5,-10,-18,-14
A2,5,-10,-18,-14
A5,5,-10,-18,-14
B2,4,-10,-18,-14
B3,4,-10,-Infinity,-14
